X, Y, class
-2.5903396606445312, 44.3016357421875,dress
-38.62654495239258, -64.12168884277344,pullover
-24.040742874145508, -32.06028747558594,pullover
58.595916748046875, 26.07807731628418,sandal
60.31329345703125, -29.62660026550293,ankle-boot
-19.438663482666016, -49.69696807861328,pullover
60.810672760009766, -30.48321533203125,ankle-boot
-54.267269134521484, 30.544227600097656,t-shirt
-49.39731216430664, -62.709964752197266,pullover
76.25971221923828, -20.984912872314453,ankle-boot
20.092571258544922, -32.66654968261719,bag
-43.69110107421875, -53.97068405151367,coat
12.614859580993652, -49.006778717041016,bag
60.74042892456055, 28.16730499267578,sandal
5.932971954345703, -22.407747268676758,bag
43.940895080566406, -12.074300765991211,sneaker
-21.85195541381836, -36.978599548339844,shirt
-53.76156234741211, -20.853660583496094,shirt
38.56516647338867, -15.14555835723877,sneaker
60.03258514404297, 19.525867462158203,sandal
-65.80410766601562, 25.089235305786133,t-shirt
-12.196974754333496, 30.207870483398438,dress
-38.50765609741211, -21.052309036254883,coat
69.2737808227539, -25.719131469726562,ankle-boot
86.97035217285156, 21.570144653320312,sandal
-69.5091552734375, 34.169227600097656,t-shirt
-64.03620910644531, -16.519765853881836,shirt
-66.488525390625, -14.390267372131348,shirt
-52.80760955810547, -47.068546295166016,coat
57.07762908935547, -25.777376174926758,ankle-boot
-16.10596466064453, 35.398887634277344,dress
57.46817398071289, 5.940629959106445,sneaker
45.54460144042969, -12.307104110717773,sneaker
29.79169464111328, 18.51679039001465,sneaker
37.42778778076172, 15.493509292602539,sneaker
23.525619506835938, 14.843301773071289,sneaker
-0.1551082730293274, 7.071242332458496,dress
71.20027160644531, -30.44906997680664,ankle-boot
-23.629751205444336, -15.103434562683105,shirt
-73.93047332763672, -20.647132873535156,shirt
-42.25725173950195, -41.92399215698242,coat
50.71909713745117, -23.294857025146484,ankle-boot
-15.044185638427734, -41.916099548339844,pullover
-67.66314697265625, -23.500919342041016,shirt
72.63766479492188, -23.050291061401367,ankle-boot
6.74714469909668, -31.817211151123047,bag
3.7606961727142334, 42.87388229370117,dress
-1.3162734508514404, -21.335769653320312,bag
-14.339497566223145, -64.65717315673828,pullover
35.17802429199219, 15.663350105285645,sneaker
-18.182233810424805, 65.10346984863281,trouser
10.051179885864258, -38.901161193847656,bag
25.98605728149414, 21.90203094482422,sneaker
-9.831395149230957, 35.912845611572266,dress
-42.8433952331543, -50.10829162597656,coat
-7.2735395431518555, -64.81437683105469,pullover
23.11532211303711, 3.1563823223114014,sneaker
-10.49378776550293, 15.680541038513184,dress
38.48988342285156, 16.52781105041504,sneaker
-10.042105674743652, 22.121408462524414,dress
1.4736241102218628, -21.380252838134766,bag
78.6498794555664, 33.53422927856445,sandal
0.8110747933387756, -27.971155166625977,bag
-35.80937957763672, -33.604026794433594,pullover
27.662250518798828, 13.516563415527344,sneaker
12.454947471618652, -17.07667350769043,bag
